,Date,Week,Tm,Opp,Wins,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Rush,Yds,Y/A,TD,TD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,,,,
,9/8/19,1,DAL,NYG,1,W 35-17,*,25,32,78.13,405,4,0,158.3,0,0,12.66,15.16,4,12,3,0,0,0,0,0,0,0,0,65,96%,0,0%,0,0%,,,,
,9/15/19,2,DAL,WAS,1,W 31-21,*,26,30,86.67,269,3,1,123.5,1,8,8.97,9.47,5,69,13.8,0,0,0,0,0,0,0,0,69,100%,0,0%,0,0%,,,,
,9/22/19,3,DAL,MIA,1,W 31-6,*,19,32,59.38,246,2,1,91.4,1,5,7.69,7.53,2,7,3.5,1,1,0,0,0,0,0,0,72,100%,0,0%,0,0%,,,,
,9/29/19,4,DAL,NOR,0,L 10-12,*,22,33,66.67,223,0,1,73.2,1,11,6.76,5.39,1,7,7,0,0,0,0,0,0,0,0,58,100%,0,0%,0,0%,,,,
,10/6/19,5,DAL,GNB,0,L 24-34,*,27,44,61.36,463,2,3,83.8,3,22,10.52,8.36,4,27,6.75,0,0,0,0,0,0,0,0,71,100%,0,0%,0,0%,,,,
,10/13/19,6,DAL,NYJ,0,L 22-24,*,28,40,70,278,0,0,89.4,1,8,6.95,6.95,3,11,3.67,1,1,0,0,0,0,0,0,82,100%,0,0%,0,0%,,,,
,10/20/19,7,DAL,PHI,1,W 37-10,*,21,27,77.78,239,1,1,100.5,3,26,8.85,7.93,5,30,6,1,1,1,0,0,0,0,0,69,100%,0,0%,0,0%,,,,
,11/4/19,9,DAL,NYG,1,W 37-18,*,22,35,62.86,257,3,1,101.7,0,0,7.34,7.77,3,12,4,0,0,1,0,0,1,-5,0,69,100%,0,0%,0,0%,,,,
,11/10/19,10,DAL,MIN,0,L 24-28,*,28,46,60.87,397,3,1,101.4,1,4,8.63,8.96,0,0,,0,0,0,0,0,0,0,0,71,100%,0,0%,0,0%,,,,
,11/17/19,11,DAL,DET,1,W 35-27,*,29,46,63.04,444,3,0,116.6,1,10,9.65,10.96,6,18,3,0,0,0,0,0,0,0,0,73,100%,0,0%,0,0%,,,,
,11/24/19,12,DAL,NWE,0,L 9-13,*,19,33,57.58,212,0,1,64.2,0,0,6.42,5.06,1,4,4,0,0,0,0,0,0,0,0,63,100%,0,0%,0,0%,,,,
,11/28/19,13,DAL,BUF,0,L 15-26,*,32,49,65.31,355,2,1,91.8,4,32,7.24,7.14,4,25,6.25,0,0,2,1,0,0,0,0,78,100%,0,0%,0,0%,,,,
,9/9/18,,,,,,,,,  65.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/16/18,,,,,,,,, 64   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/23/18,,,,,,,,, 55.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/30/18,,,,,,,,, 62.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/7/18,,,,,,,,, 62.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/14/18,,,,,,,,,62.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/21/18,,,,,,,,,62.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/5/18,,,,,,,,, 67.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/11/18,,,,,,,,,72.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/18/18,,,,,,,,,68.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/22/18,,,,,,,,,70.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/29/18,,,,,,,,,85.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/9/18,,,,,,,,, 77.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/16/18,,,,,,,,,61.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/23/18,,,,,,,,,80   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9/9/18,1,25.042,DAL,CAR,L 8-16,*,19,29,65.52,170,0,0,81.1,6,32,5.86,5.86,5,19,3.8,0,1,0,2,1,1,0,0,0,0,64,100%,0,0%,0,0%,,
2,9/16/18,2,25.049,DAL,NYG,W 20-13,*,16,25,64,160,1,0,95.4,0,0,6.4,7.2,7,45,6.43,0,,0,0,0,0,0,0,0,0,53,100%,0,0%,0,0%,,
3,9/23/18,3,25.056,DAL,SEA,L 13-24,*,19,34,55.88,168,1,2,54.5,5,31,4.94,2.88,2,21,10.5,0,,0,0,0,0,0,0,0,0,59,100%,0,0%,0,0%,,
4,9/30/18,4,25.063,DAL,DET,W 26-24,*,17,27,62.96,255,2,0,118.6,3,24,9.44,10.93,3,2,0.67,0,,0,0,1,0,0,0,0,0,69,100%,0,0%,0,0%,,
5,10/7/18,5,25.07,DAL,HOU,L 16-19,*,18,29,62.07,208,1,2,66.5,2,14,7.17,4.76,6,34,5.67,0,,0,0,0,0,0,0,0,0,62,100%,0,0%,0,0%,,
6,10/14/18,6,25.077,DAL,JAX,W 40-7,*,17,27,62.96,183,2,0,107.5,3,11,6.78,8.26,11,82,7.45,1,,1,6,2,0,0,0,0,0,67,92%,0,0%,0,0%,,
7,10/21/18,7,25.084,DAL,WAS,L 17-20,*,22,35,62.86,273,1,0,96.5,4,23,7.8,8.37,6,33,5.5,1,,1,6,2,2,0,0,0,0,66,100%,0,0%,0,0%,,
8,11/5/18,8,25.099,DAL,TEN,L 14-28,*,21,31,67.74,243,2,1,99.3,5,18,7.84,7.68,2,11,5.5,0,,0,0,1,1,0,0,0,0,59,100%,0,0%,0,0%,,
9,11/11/18,9,25.105,DAL,PHI,W 27-20,*,26,36,72.22,270,1,0,102.8,4,31,7.5,8.06,6,9,1.5,1,,1,6,1,0,0,0,0,0,69,100%,0,0%,0,0%,,
10,11/18/18,10,25.112,DAL,ATL,W 22-19,*,22,32,68.75,208,0,0,86.5,2,17,6.5,6.5,4,5,1.25,1,,1,6,0,0,0,0,0,0,64,100%,0,0%,0,0%,,
11,11/22/18,11,25.116,DAL,WAS,W 31-23,*,22,31,70.97,289,2,0,121.6,4,31,9.32,10.61,6,18,3,1,,1,6,1,0,0,0,0,0,70,100%,0,0%,0,0%,,
12,11/29/18,12,25.123,DAL,NOR,W 13-10,*,24,28,85.71,249,1,0,115.6,7,40,8.89,9.61,5,22,4.4,0,,0,0,2,1,0,0,0,0,71,100%,0,0%,0,0%,,
13,12/9/18,13,25.133,DAL,PHI,W 29-23,*,42,54,77.78,455,3,2,104.9,3,21,8.43,7.87,4,2,0.5,0,,0,0,1,1,0,0,0,0,99,100%,0,0%,0,0%,,
14,12/16/18,14,25.14,DAL,IND,L 0-23,*,24,39,61.54,206,0,1,64.7,3,26,5.28,4.13,0,0,,0,,0,0,0,0,0,0,0,0,69,100%,0,0%,0,0%,,
15,12/23/18,15,25.147,DAL,TAM,W 27-20,*,20,25,80,161,1,0,106.8,1,9,6.44,7.24,4,2,0.5,1,,1,6,0,0,0,0,0,0,52,100%,0,0%,0,0%,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
